City_ID,City,Country,MaxTemp,Current Description,Lat,Lon,Hotel Name
468,Bredasdorp,ZA,53.1,light rain,-34.5322,20.0403,Victoria Hotel - Bredasdorp
469,Esperance,AU,54.88,broken clouds,-33.8667,121.9,The Jetty Resort
470,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
476,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
477,Yellowknife,CA,64.92,scattered clouds,62.456,-114.3525,The Explorer Hotel
479,Chimbote,PE,62.42,broken clouds,-9.0853,-78.5783,Hotel Real Chimbote
492,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Hôtel Les Embruns Du Baril
493,Darhan,MN,65.01,clear sky,49.4867,105.9228,Buudai Hotel
494,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
495,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,Hotel Bagu Playa Grande
506,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
508,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,Hotel Bagu Playa Grande
510,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
512,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,Hotel Bagu Playa Grande
519,Havøysund,NO,50.23,light rain,70.9963,24.6622,Havøysund Hotel & Rorbuer
526,Pisco,PE,60.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
532,Ahipara,NZ,55.81,clear sky,-35.1667,173.1667,Ahipara Bay Motel
538,Tuktoyaktuk,CA,53.6,broken clouds,69.4541,-133.0374,Smitty's Bed and Breakfast
542,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,Hotel Bagu Playa Grande
553,Oppdal,NO,53.8,overcast clouds,62.5943,9.6912,Quality Hotel Skifer
559,Souillac,MU,64.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
564,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
570,Saint Paul Harbor,US,58.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
573,Broken Hill,AU,57.85,few clouds,-31.95,141.4333,Palace Hotel
577,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
578,Biržai,LT,55.62,clear sky,56.2,24.75,Avanti viešbutis-restoranas
